# EXPÉRIENCES DUEL - ven. 27 mars 2026 11:38:04 CET
# Plateau: 10, Profondeurs: 3 6
# Stratégies: MinMaxStrategie AlphaBetaStrategie
# Heuristiques: FreeSpaceHeuristic VoronoiHeuristic
# Parties par config: 50


# CONFIG: P10_D3_MinMaxStrategie_FreeSpaceHeuristic_VS_AlphaBetaStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 3
# Stratégies: MinMaxStrategie (FreeSpaceHeuristic) vs AlphaBetaStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 3
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMs,NbTours
100,Equipe_1,23,2
100,Equipe_1,15,2
100,Equipe_1,29,2
100,Equipe_1,13,2
100,Equipe_1,14,2
100,Equipe_1,23,2
100,Equipe_1,28,2
100,Equipe_1,12,2
100,Equipe_1,20,2
100,Equipe_1,32,2
100,Equipe_1,18,2
100,Equipe_1,27,2
100,Equipe_1,7,2
100,Equipe_1,9,2
100,Equipe_1,8,2
100,Equipe_1,13,2
100,Equipe_1,13,3
100,Match Nul,13,2
100,Equipe_1,11,2
100,Match Nul,7,2
100,Equipe_1,20,2
100,Match Nul,41,5
100,Equipe_1,18,3
100,Equipe_1,9,2
100,Equipe_1,20,2
100,Equipe_1,11,2
100,Equipe_1,13,2

# CONFIG: P10_D6_MinMaxStrategie_VoronoiHeuristic_VS_AlphaBetaStrategie_VoronoiHeuristic
# Plateau: 10x10, Profondeur: 6
# Stratégies: MinMaxStrategie (VoronoiHeuristic) vs AlphaBetaStrategie (VoronoiHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 6
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMs,NbTours
100,Equipe_1,194,1
100,Equipe_1,362,8
100,Equipe_1,228,3
100,Equipe_1,317,6
100,Match Nul,280,4
100,Equipe_1,276,7
100,Equipe_1,341,7
100,Equipe_2,218,3
100,Match Nul,39,3
100,Equipe_1,143,6
100,Match Nul,83,5
100,Match Nul,92,4
100,Equipe_1,45,3
100,Equipe_1,116,6
100,Equipe_2,16,2
100,Equipe_2,88,4
100,Equipe_1,86,6
100,Equipe_2,113,6
100,Match Nul,45,2
100,Equipe_2,85,5
100,Equipe_2,80,4
100,Match Nul,120,7
100,Equipe_1,105,6
100,Match Nul,175,9
100,Equipe_2,47,5
100,Equipe_1,72,7
100,Equipe_1,71,5
100,Equipe_1,32,2
100,Match Nul,71,6
100,Equipe_2,17,3
100,Equipe_2,26,3
100,Match Nul,113,6
100,Equipe_2,11,2
100,Match Nul,141,6
100,Equipe_2,25,3
100,Match Nul,95,6
100,Equipe_1,22,3
100,Match Nul,8,2
100,Equipe_1,40,3
100,Match Nul,100,6
100,Match Nul,108,5
100,Equipe_2,29,3
100,Equipe_2,60,4
100,Equipe_1,45,6
100,Equipe_2,23,4
100,Match Nul,10,3
100,Equipe_2,72,7
100,Match Nul,65,6
100,Equipe_2,82,9
100,Equipe_2,17,2

# CONFIG: P10_D6_AlphaBetaStrategie_FreeSpaceHeuristic_VS_MinMaxStrategie_FreeSpaceHeuristic
# Plateau: 10x10, Profondeur: 6
# Stratégies: AlphaBetaStrategie (FreeSpaceHeuristic) vs MinMaxStrategie (FreeSpaceHeuristic)
# Parties: 50
Nombre d'Equipes = 2
Joueurs Par Equipe = 1
Profondeur IA = 6
Nombre Parties = 50


TailleGrille,EquipeGagnante,TempsMs,NbTours
100,Match Nul,140,2
100,Match Nul,135,2
100,Match Nul,123,2
100,Match Nul,154,2
