Nombre d'Equipes = 2
Joueurs Par Equipe = 2
Profondeur IA = 10
Nombre Parties = 2

Parties,T1,T2,Conf %
NbParties,ABS|FSH,ABS|TOC,
2,0.0%,50.0%,±69.30%
100,Equipe_2,150,2
100,Equipe_1,272,3
100,Equipe_2,273,2
100,Equipe_1,253,2
100,Match Nul,292,2
100,Equipe_2,228,2
100,Match Nul,262,2
100,Equipe_1,284,2
100,Equipe_2,425,2
100,Equipe_2,139,2
100,Equipe_1,338,3
100,Match Nul,215,3
100,Equipe_1,742,2
100,Match Nul,416,2
100,Equipe_1,489,2
100,Equipe_2,354,2
100,Equipe_1,461,2
100,Match Nul,465,2
100,Equipe_1,438,2
100,Equipe_1,602,2
100,Equipe_2,472,2
100,Equipe_1,493,2
100,Equipe_2,242,2
100,Match Nul,330,2
100,Match Nul,452,3
100,Equipe_1,138,2
100,Equipe_2,290,2
100,Equipe_2,161,2
100,Match Nul,292,2
100,Equipe_2,276,2
100,Match Nul,304,2
100,Equipe_2,292,2
100,Match Nul,437,4
100,Equipe_2,303,2
100,Equipe_2,226,2
100,Equipe_1,495,2
100,Equipe_2,376,2
100,Match Nul,378,2
100,Equipe_1,350,2
100,Equipe_2,171,2
100,Equipe_2,485,3
100,Equipe_1,292,2
100,Match Nul,279,2
100,Match Nul,241,2
100,Equipe_1,295,2
100,Equipe_1,254,2
100,Equipe_1,299,2
100,Equipe_2,150,2
100,Equipe_2,449,2
100,Match Nul,331,3
100,Equipe_2,304,2
100,Match Nul,288,3
100,Match Nul,276,2
100,Equipe_1,249,2
100,Equipe_1,253,2
100,Equipe_2,175,2
100,Match Nul,213,2
100,Equipe_2,155,2
100,Equipe_2,138,2
100,Match Nul,218,2
100,Equipe_2,166,2
100,Match Nul,177,2
